Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title,host_label,virus_ID,collection_year,dataset
NC_054003,Alphacoronavirus sp.,,"O'Dea,M., Prada,D., Jackson,B., Boyd,V., Baker,M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,WA1087,Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,ssRNA(+),28170,RefSeq,complete,,,,Australia,Australia,,NA,,2018,,PRJNA485481,"Alphacoronavirus sp. isolate WA1087, complete genome",0,NC_054003,2018.0,unknown
NC_054004,Hipposideros pomona bat coronavirus CHB25,,"Li,B., Si,H.R., Zhu,Y., Yang,X.L., Anderson,D.E., Shi,Z.L., Wang,L.F., Zhou,P.","National Center for Biotechnology Information, NIH",USA,2023-05-04,CHB0025,Alphacoronavirus CHB25,Alphacoronavirus,Coronaviridae,ssRNA(+),28169,RefSeq,complete,,,1.0,China,China,,Hipposideros larvatus,,2018-03,,PRJNA485481,"Hipposideros pomona bat coronavirus CHB25 isolate CHB0025, complete genome",0,NC_054004,2018.0,unknown
NC_054015,Tylonycteris bat coronavirus HKU33,,"Lau,S.K.P., Wong,A.C.P., Zhang,L., Luk,H.K.H., Kwok,J.S.L., Ahmed,S.S., Cai,J.P., Zhao,P.S.H., Teng,J.L.L., Tsui,S.K.W., Yuen,K.Y., Woo,P.C.Y., Li,K.S.M., Cai,J.-P.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Alphacoronavirus HKU33,Alphacoronavirus,Coronaviridae,ssRNA(+),27636,RefSeq,complete,,,1.0,China,China,,Tylonycteris robustula,feces,2015-09-09,,PRJNA485481,"Tylonycteris bat coronavirus HKU33 strain GZ151867, complete genome",0,NC_054015,2015.0,known
NC_055953,Bat alphacoronavirus,,"Bergner,L., Orton,R., Streicker,D.","National Center for Biotechnology Information, NIH",USA,2023-05-04,AMA_L_F,Bat alphacoronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),29097,RefSeq,complete,,,,Peru,Peru,,Desmodus rotundus,,2015,,PRJNA485481,"Bat alphacoronavirus isolate AMA_L_F, complete genome",0,NC_055953,2015.0,known
NC_076629,Bat alphacoronavirus,,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,BtCoV/020_16/M.dau/FIN/2016,Bat alphacoronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),28045,RefSeq,complete,,,,Finland: Mustasaari,Finland,,Myotis daubentonii,feces,2016-08-28,,PRJNA485481,"Bat alphacoronavirus isolate BtCoV/020_16/M.dau/FIN/2016 polyprotein (QKQ02_gp1), spike protein (QKQ02_gp2), hypothetical protein (QKQ02_gp3), envelope protein (QKQ02_gp4), membrane protein (QKQ02_gp5), and nucleocapsid protein (QKQ02_gp6) genes, complete cds",0,NC_076629,2016.0,known
NC_076684,Alphacoronavirus sp.,,"O'Dea,M., Prada,D., Jackson,B., Boyd,V., Baker,M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,WA2028,Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,ssRNA(+),27435,RefSeq,complete,,,,Australia,Australia,,NA,,2018,,PRJNA485481,"Alphacoronavirus sp. isolate WA2028, complete genome",0,NC_076684,2018.0,unknown
NC_076685,Alphacoronavirus sp.,,"O'Dea,M., Prada,D., Jackson,B., Boyd,V., Baker,M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,WA3607,Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,ssRNA(+),28009,RefSeq,complete,,,,Australia,Australia,,NA,,2018,,PRJNA485481,"Alphacoronavirus sp. isolate WA3607, complete genome",0,NC_076685,2018.0,unknown
NC_076697,Pacific salmon nidovirus,SRR9216246,"Mordecai,G.J., Miller,K.M., DiCicco,E., Schulze,A.D., Kaukinen,K.H., Ming,T.J., Li,S., Tabata,A., Teffer,A., Ferguson,H.W., Suttle,C.A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,H14,Alphapironavirus bona,Alphapironavirus,Coronaviridae,ssRNA(+),36652,RefSeq,complete,,,,Canada: Chilliwack River hatchery,Canada,,Oncorhynchus tshawytscha,,2013-10-21,SAMN11974798,PRJNA485481,"MAG: Pacific salmon nidovirus isolate H14 ORF1a polyprotein (QKQ71_gp1), ORF1b polyprotein (QKQ71_gp2), LAP1C-like protein (QKQ71_gp3), spike protein (QKQ71_gp4), envelope (QKQ71_gp5), membrane protein (QKQ71_gp6), and nucleoprotein (QKQ71_gp7) genes, complete cds",0,NC_076697,2013.0,known
NC_048211,Wencheng Sm shrew coronavirus,,"Wang,W., Lin,X.D., Liao,Y., Guan,X.Q., Guo,W.P., Xing,J.G., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2020-05-15,Xingguo-74,Wencheng Sm shrew coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),25984,RefSeq,complete,,,1.0,China,China,,Suncus murinus,,2015,,PRJNA485481,"Wencheng Sm shrew coronavirus isolate Xingguo-74 ORF1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",0,NC_048211,2015.0,known
NC_048212,Bat coronavirus,,"Yinda,C.K., Ghogomu,S.M., Conceicao-Neto,N., Beller,L., Deboutte,W., Vanhulle,E., Maes,P., Van Ranst,M., Matthijnssens,J.","National Center for Biotechnology Information, NIH",USA,2020-05-15,CMR704-P12,Bat coronavirus,,Coronaviridae,ssRNA(+),28975,RefSeq,complete,,,1.0,Cameroon,Cameroon,,Eidolon helvum,feces,2013-12,,PRJNA485481,"Bat coronavirus, complete genome",0,NC_048212,2013.0,known
